phylum,class,order,family,genus,species,final_scientific,freq,focc,totalspecreads,finalrra_all,finalrra_vert,PreyTaxa,POO,RRA,wPOO,Species,reads,c,sciname
Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,Lepus americanus,10,0.36,183366.00,0.30,0.30,Lepus americanus,0.19,0.23,0.23,Coyote,213567,Mammalia,Lepus americanus
Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis,Callospermophilus lateralis,10,0.36,306808.00,0.23,0.23,Callospermophilus lateralis,0.19,0.20,0.20,Coyote,475755,Mammalia,Callospermophilus lateralis
Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp.,Odocoileus sp.,6,0.21,171736.00,0.14,0.14,Odocoileus sp.,0.11,0.13,0.13,Coyote,228010,Mammalia,Odocoileus sp.
Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp.,Tamias sp.,9,0.32,559057.00,0.15,0.15,Tamias sp,0.17,0.13,0.13,Coyote,802217,Mammalia,Tamias sp.
Chordata,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Cervus canadensis,2,0.07,308774.00,0.06,0.06,Cervus canadensis,0.04,0.04,0.04,Coyote,352224,Mammalia,Cervus canadensis
Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris,Marmota flaviventris,2,0.07,1377.00,0.04,0.04,Marmota flaviventris,0.04,0.04,0.04,Coyote,12373,Mammalia,Marmota flaviventris
Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,fuliginosus,Dendragapus fuliginosus,2,0.07,5613.00,0.03,0.03,Dendragapus fuliginosus,0.04,0.03,0.03,Coyote,9363,Aves,Dendragapus fuliginosus
Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,mephitis,Mephitis mephitis,1,0.04,3716.00,0.04,0.04,Mephitis mephitis,0.02,0.03,0.03,Coyote,3716,Mammalia,Mephitis mephitis
Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides,Thomomys talpoides,1,0.04,13482.00,0.04,0.04,Thomomys talpoides,0.02,0.03,0.03,Coyote,13482,Mammalia,Thomomys talpoides
Chordata,Mammalia,Soricimorpha,Soricidae,Sorex,sp.,Sorex sp.,1,0.04,2134.00,0.04,0.04,Sorex sp.,0.02,0.03,0.03,Coyote,2134,Mammalia,Sorex sp.
Chordata,Mammalia,Euliptophyla,Talpidae,Scapanus,sp.,Scapanus sp.,2,0.07,9572.00,0.04,0.04,Scapanus sp.,0.04,0.02,0.02,Coyote,47563,Mammalia,Scapanus sp.
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,sp.,Accipiter sp.,1,0.04,80496.00,0.01,0.01,Accipiter sp.,0.02,0.02,0.02,Coyote,531762,Aves,Accipiter sp.
Chordata,Mammalia,Rodentia,Cricetidae,Microtus,sp.,Microtus sp.,1,0.04,325.00,0.00,0.00,Microtus sp.,0.02,0.02,0.02,Coyote,6173,Mammalia,Microtus sp.
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,1,0.04,19030.00,0.00,0.00,Chordeiles minor,0.02,0.01,0.01,Coyote,160218,Aves,Chordeiles minor
Chordata,Aves,Passeriformes,Passerellidae,Junco,hyemalis,Junco hyemalis,1,0.04,24420.00,0.01,0.01,Junco hyemalis,0.02,0.01,0.01,Coyote,160218,Aves,Junco hyemalis
Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,intermedius,Phenacomys intermedius,1,0.04,2234.00,0.01,0.01,Phenacomys intermedius,0.02,0.01,0.01,Coyote,11939,Mammalia,Phenacomys intermedius
Chordata,Mammalia,Rodentia,Sciuridae,Tamiasciurus,douglasii,Tamiasciurus douglasii,1,0.04,12156.00,0.02,0.02,Tamiasciurus douglasii,0.02,0.01,0.01,Coyote,21300,Mammalia,Tamiasciurus douglasii
Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus,Peromyscus maniculatus,1,0.04,691.00,0.00,0.00,Peromyscus maniculatus,0.02,0.01,0.01,Coyote,44003,Mammalia,Peromyscus maniculatus
