"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC_0190_18_repaOdocoileus sp.","DESC68","DESC_0190_18","repa","Odocoileus sp.","Canis latrans","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",278,100,"Chordata","DESC_0190_18",3560,"repa",1402,"Odocoileus sp.",490,0.137640449438202
"DESC_0190_18_repaScapanus sp.","DESC68","DESC_0190_18","repa","Scapanus sp.","Canis latrans","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",1124,100,"Chordata","DESC_0190_18",3560,"repa",1402,"Scapanus sp.",3070,0.862359550561798
"DESC_0190_18_repbOdocoileus sp.","DESC68","DESC_0190_18","repb","Odocoileus sp.","Canis latrans","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",212,100,"Chordata","DESC_0190_18",3560,"repb",1016,"Odocoileus sp.",490,0.137640449438202
"DESC_0190_18_repbScapanus sp.","DESC68","DESC_0190_18","repb","Scapanus sp.","Canis latrans","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",804,100,"Chordata","DESC_0190_18",3560,"repb",1016,"Scapanus sp.",3070,0.862359550561798
"DESC_0190_18_repcOdocoileus sp.","DESC68","DESC_0190_18","repc","Odocoileus sp.","Canis latrans","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",0,100,"Chordata","DESC_0190_18",3560,"repc",1142,"Odocoileus sp.",490,0.137640449438202
"DESC_0190_18_repcScapanus sp.","DESC68","DESC_0190_18","repc","Scapanus sp.","Canis latrans","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Mole","Mole","Moles","Moles and shrews","Mammals",1142,100,"Chordata","DESC_0190_18",3560,"repc",1142,"Scapanus sp.",3070,0.862359550561798
"DESC_0190_2_repaCervus canadensis","DESC52","DESC_0190_2","repa","Cervus canadensis","Canis latrans","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",35354,99.51,"Chordata","DESC_0190_2",160218,"repa",48312,"Cervus canadensis",116768,0.728807000461871
"DESC_0190_2_repaChordeiles minor","DESC52","DESC_0190_2","repa","Chordeiles minor","Canis latrans","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",5446,100,"Chordata","DESC_0190_2",160218,"repa",48312,"Chordeiles minor",19030,0.118775668152143
"DESC_0190_2_repaJunco hyemalis","DESC52","DESC_0190_2","repa","Junco hyemalis","Canis latrans","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",7512,100,"Chordata","DESC_0190_2",160218,"repa",48312,"Junco hyemalis",24420,0.152417331385987
"DESC_0190_2_repbCervus canadensis","DESC52","DESC_0190_2","repb","Cervus canadensis","Canis latrans","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",29794,99.51,"Chordata","DESC_0190_2",160218,"repb",39942,"Cervus canadensis",116768,0.728807000461871
"DESC_0190_2_repbChordeiles minor","DESC52","DESC_0190_2","repb","Chordeiles minor","Canis latrans","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",4262,100,"Chordata","DESC_0190_2",160218,"repb",39942,"Chordeiles minor",19030,0.118775668152143
"DESC_0190_2_repbJunco hyemalis","DESC52","DESC_0190_2","repb","Junco hyemalis","Canis latrans","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",5886,100,"Chordata","DESC_0190_2",160218,"repb",39942,"Junco hyemalis",24420,0.152417331385987
"DESC_0190_2_repcCervus canadensis","DESC52","DESC_0190_2","repc","Cervus canadensis","Canis latrans","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",51620,99.51,"Chordata","DESC_0190_2",160218,"repc",71964,"Cervus canadensis",116768,0.728807000461871
"DESC_0190_2_repcChordeiles minor","DESC52","DESC_0190_2","repc","Chordeiles minor","Canis latrans","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",9322,100,"Chordata","DESC_0190_2",160218,"repc",71964,"Chordeiles minor",19030,0.118775668152143
