"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC-0282__2","DESC02","repa","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,22502,11501,18188,0.808283708114834,1
"DESC-0282__2","DESC02","repa","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",100,22502,11501,1696,0.0753710781263888,1
"DESC-0282__2","DESC02","repa","Vulpes vulpes","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,22502,11501,501,0.0222646875833259,1
"DESC-0282__2","DESC02","repa","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.34,22502,11501,2117,0.0940805261754511,1
"DESC-0282__2","DESC02","repb","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,22502,7565,18188,0.808283708114834,1
"DESC-0282__2","DESC02","repb","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",100,22502,7565,1696,0.0753710781263888,1
"DESC-0282__2","DESC02","repb","Vulpes vulpes","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,22502,7565,501,0.0222646875833259,1
"DESC-0282__2","DESC02","repb","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.34,22502,7565,2117,0.0940805261754511,1
"DESC-0282__2","DESC02","repc","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",100,22502,3436,18188,0.808283708114834,1
"DESC-0282__2","DESC02","repc","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",100,22502,3436,1696,0.0753710781263888,1
"DESC-0282__2","DESC02","repc","Vulpes vulpes","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,22502,3436,501,0.0222646875833259,1
"DESC-0282__2","DESC02","repc","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.34,22502,3436,2117,0.0940805261754511,1
"DESC-0282_22","DESC23","repa","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",98.9190909090909,11057,6373,11057,1,1
"DESC-0282_22","DESC23","repb","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",98.9190909090909,11057,0,11057,1,0
"DESC-0282_22","DESC23","repc","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",98.9190909090909,11057,4684,11057,1,1
"DESC_0190_15","DESC65","repa","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.6733333333333,31588,13641,16278,0.515322274281373,1
"DESC_0190_15","DESC65","repa","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.009,31588,13641,15310,0.484677725718627,1
"DESC_0190_15","DESC65","repb","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.6733333333333,31588,5330,16278,0.515322274281373,1
"DESC_0190_15","DESC65","repb","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",99.009,31588,5330,15310,0.484677725718627,1
"DESC_0190_15","DESC65","repc","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.6733333333333,31588,12617,16278,0.515322274281373,1
