"key","labid","fieldid.x","rep.x","speciessimpleid.x","defecator","final_scientific","species","genus","family","order","class","final_common","genus_group","family_group","order_group","class_group","counts","best_match_pid.mean","phylum","fieldid.y","total_reads","rep.y","rep_reads","speciessimpleid.y","spec_reads","p_reads"
"DESC-0282__2_repaCallospermophilus lateralis","DESC02","DESC-0282__2","repa","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",9230,100,"Chordata","DESC-0282__2",22502,"repa",11501,"Callospermophilus lateralis",18188,0.808283708114834
"DESC-0282__2_repaCervus canadensis","DESC02","DESC-0282__2","repa","Cervus canadensis","Vulpes vulpes","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",1062,100,"Chordata","DESC-0282__2",22502,"repa",11501,"Cervus canadensis",1696,0.0753710781263888
"DESC-0282__2_repaSorex sp.","DESC02","DESC-0282__2","repa","Sorex sp.","Vulpes vulpes","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",221,100,"Chordata","DESC-0282__2",22502,"repa",11501,"Sorex sp.",501,0.0222646875833259
"DESC-0282__2_repaThomomys talpoides","DESC02","DESC-0282__2","repa","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",988,99.34,"Chordata","DESC-0282__2",22502,"repa",11501,"Thomomys talpoides",2117,0.0940805261754511
"DESC-0282__2_repbCallospermophilus lateralis","DESC02","DESC-0282__2","repb","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",5952,100,"Chordata","DESC-0282__2",22502,"repb",7565,"Callospermophilus lateralis",18188,0.808283708114834
"DESC-0282__2_repbCervus canadensis","DESC02","DESC-0282__2","repb","Cervus canadensis","Vulpes vulpes","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",634,100,"Chordata","DESC-0282__2",22502,"repb",7565,"Cervus canadensis",1696,0.0753710781263888
"DESC-0282__2_repbSorex sp.","DESC02","DESC-0282__2","repb","Sorex sp.","Vulpes vulpes","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",173,100,"Chordata","DESC-0282__2",22502,"repb",7565,"Sorex sp.",501,0.0222646875833259
"DESC-0282__2_repbThomomys talpoides","DESC02","DESC-0282__2","repb","Thomomys talpoides","Vulpes vulpes","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Northern pocket gopher","Pocket gopher","Pocket gophers","Rodents","Mammals",806,99.34,"Chordata","DESC-0282__2",22502,"repb",7565,"Thomomys talpoides",2117,0.0940805261754511
"DESC-0282__2_repcCallospermophilus lateralis","DESC02","DESC-0282__2","repc","Callospermophilus lateralis","Vulpes vulpes","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",3006,100,"Chordata","DESC-0282__2",22502,"repc",3436,"Callospermophilus lateralis",18188,0.808283708114834
"DESC-0282__2_repcCervus canadensis","DESC02","DESC-0282__2","repc","Cervus canadensis","Vulpes vulpes","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",0,100,"Chordata","DESC-0282__2",22502,"repc",3436,"Cervus canadensis",1696,0.0753710781263888
"DESC-0282__2_repcSorex sp.","DESC02","DESC-0282__2","repc","Sorex sp.","Vulpes vulpes","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Shrew","Shrew","Shrews","Moles and shrews","Mammals",107,100,"Chordata","DESC-0282__2",22502,"repc",3436,"Sorex sp.",501,0.0222646875833259
