"PreyTaxa","DESC_0190_18","DESC_0190_2","DESC_0190_24","DESC_0190_25","DESC_0190_38","DESC_0190_5","DESC_0278_36","DESC_0282_11","DESC_0282_14","DESC_0282_24","DESC_0282_26","DESC_0282_28","DESC_0282_43","DESC_0282_45","DESC_0282_46","DESC_0282_5","DESC_0282_8","DESC_0637_15","DESC_0637_19","DESC_0637_20","DESC_0637_5","DESC_0637_6","JEFF_0424_13","JEFF_0424_6","JEFF_0424_7","LINN_0455_1","LINN_0455_14","LINN_0455_19","LINN_0455_2","LINN_0455_20","LINN_0455_21","LINN_0455_8"
"Accipiter sp.",0,0,0,0,0,0,0,0,0,531762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Callospermophilus lateralis",0,0,0,0,0,0,0,51494,0,0,21842,18002,0,0,0,0,0,0,0,0,0,0,21300,6173,51052,0,0,83067,108038,0,70445,44342
"Cervus canadensis",0,160218,0,192006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chordeiles minor",0,160218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dendragapus fuliginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2767,6596,0,0,0,0,0,0,0,0,0,0,0,0
"Junco hyemalis",0,160218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepus americanus",0,0,0,0,0,0,0,0,0,0,0,0,9708,12552,1645,0,0,46512,2767,6596,12664,3332,0,0,0,0,44003,0,0,73788,0,0
"Marmota flaviventris",0,0,0,0,0,0,0,0,11939,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mephitis mephitis",0,0,0,0,3716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6173,0,0,0,0,0,0,0,0
"Odocoileus sp.",3560,0,61874,0,0,0,28256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7250,44003,83067,0,0,0,0
"Peromyscus maniculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44003,0,0,0,0,0
"Phenacomys intermedius",0,0,0,0,0,0,0,0,11939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scapanus sp.",3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44003,0,0,0,0,0
"Sorex sp.",0,0,0,0,0,2134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tamias sp",0,0,0,0,0,0,0,51494,11939,531762,21842,18002,0,0,1645,0,0,0,0,0,0,0,21300,0,0,0,0,0,0,73788,70445,0
"Tamiasciurus douglasii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21300,0,0,0,0,0,0,0,0,0
"Thomomys talpoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
