"fieldid.x","labid","rep.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","final_common","genus_group","family_group","order_group","class_group","best_match_pid.mean","total_reads","rep_reads","spec_reads","p_reads","replicates"
"DESC_0190_18","DESC68","repa","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,3560,1402,490,0.137640449438202,1
"DESC_0190_18","DESC68","repa","Canis latrans","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Mole","Mole","Moles","Moles and shrews","Mammals",100,3560,1402,3070,0.862359550561798,1
"DESC_0190_18","DESC68","repb","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,3560,1016,490,0.137640449438202,1
"DESC_0190_18","DESC68","repb","Canis latrans","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Mole","Mole","Moles","Moles and shrews","Mammals",100,3560,1016,3070,0.862359550561798,1
"DESC_0190_18","DESC68","repc","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",100,3560,1142,490,0.137640449438202,1
"DESC_0190_18","DESC68","repc","Canis latrans","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata","Mole","Mole","Moles","Moles and shrews","Mammals",100,3560,1142,3070,0.862359550561798,1
"DESC_0190_2","DESC52","repa","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.51,160218,48312,116768,0.728807000461871,1
"DESC_0190_2","DESC52","repa","Canis latrans","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",100,160218,48312,19030,0.118775668152143,1
"DESC_0190_2","DESC52","repa","Canis latrans","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",100,160218,48312,24420,0.152417331385987,1
"DESC_0190_2","DESC52","repb","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.51,160218,39942,116768,0.728807000461871,1
"DESC_0190_2","DESC52","repb","Canis latrans","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",100,160218,39942,19030,0.118775668152143,1
"DESC_0190_2","DESC52","repb","Canis latrans","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",100,160218,39942,24420,0.152417331385987,1
"DESC_0190_2","DESC52","repc","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.51,160218,71964,116768,0.728807000461871,1
"DESC_0190_2","DESC52","repc","Canis latrans","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata","Common nighthawk","Nighthawk","Nighthawks","Nighthawks","Birds",100,160218,71964,19030,0.118775668152143,1
"DESC_0190_2","DESC52","repc","Canis latrans","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata","Dark-eyed junco","Junco","Sparrows","Passerines","Birds",100,160218,71964,24420,0.152417331385987,1
"DESC_0190_24","DESC74","repa","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,61874,18414,61874,1,1
"DESC_0190_24","DESC74","repb","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,61874,23594,61874,1,1
"DESC_0190_24","DESC74","repc","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,61874,19866,61874,1,1
"DESC_0190_25","DESC75","repa","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.51,192006,53608,192006,1,1
"DESC_0190_25","DESC75","repb","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.51,192006,85980,192006,1,1
"DESC_0190_25","DESC75","repc","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Elk","Elk","Deer and elk","Even-toed ungulates","Mammals",99.51,192006,52418,192006,1,1
"DESC_0190_38","DESC88","repa","Canis latrans","Mephitis mephitis","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Chordata","Striped skunk","Striped skunks","Skunks","Carnivores","Mammals",100,3716,1060,3716,1,1
"DESC_0190_38","DESC88","repb","Canis latrans","Mephitis mephitis","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Chordata","Striped skunk","Striped skunks","Skunks","Carnivores","Mammals",100,3716,1438,3716,1,1
"DESC_0190_38","DESC88","repc","Canis latrans","Mephitis mephitis","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Chordata","Striped skunk","Striped skunks","Skunks","Carnivores","Mammals",100,3716,1218,3716,1,1
"DESC_0190_5","DESC55","repa","Canis latrans","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,2134,806,2134,1,1
"DESC_0190_5","DESC55","repb","Canis latrans","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,2134,488,2134,1,1
"DESC_0190_5","DESC55","repc","Canis latrans","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata","Shrew","Shrew","Shrews","Moles and shrews","Mammals",100,2134,840,2134,1,1
"DESC_0278_36","DESC139","repa","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,28256,8142,28256,1,1
"DESC_0278_36","DESC139","repb","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,28256,7990,28256,1,1
"DESC_0278_36","DESC139","repc","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata","Deer","Deer","Deer and elk","Even-toed ungulates","Mammals",99.51,28256,12124,28256,1,1
"DESC_0282_11","DESC11","repa","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata","Golden-mantled ground squirrel","Ground squirrel","Squirrels","Rodents","Mammals",99.505,51494,17504,27278,0.529731619217773,1
