"fieldid.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","reps","speciesreads","totalreads","rra","pidmatch","lineage"
"DESC_0190_18","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,490,3560,0.137640449438202,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"DESC_0190_18","Canis latrans","Scapanus sp.","Scapanus sp.","sp.","Scapanus","Talpidae","Euliptophyla","Mammalia","Chordata",3,3070,3560,0.862359550561798,100,"Chordata,Mammalia,Euliptophyla,Talpidae,Scapanus,sp."
"DESC_0190_2","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,116768,160218,0.728807000461871,99.51,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis"
"DESC_0190_2","Canis latrans","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata",3,19030,160218,0.118775668152143,100,"Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor"
"DESC_0190_2","Canis latrans","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata",3,24420,160218,0.152417331385987,100,"Chordata,Aves,Passeriformes,Passerellidae,Junco,hyemalis"
"DESC_0190_24","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,61874,61874,1,99.51,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"DESC_0190_25","Canis latrans","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,192006,192006,1,99.51,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis"
"DESC_0190_38","Canis latrans","Mephitis mephitis","Mephitis mephitis","mephitis","Mephitis","Mephitidae","Carnivora","Mammalia","Chordata",3,3716,3716,1,100,"Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,mephitis"
"DESC_0190_5","Canis latrans","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata",3,2134,2134,1,100,"Chordata,Mammalia,Soricimorpha,Soricidae,Sorex,sp."
"DESC_0278_36","Canis latrans","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,28256,28256,1,99.51,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"DESC_0282_11","Canis latrans","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,27278,51494,0.529731619217773,99.505,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"DESC_0282_11","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,24216,51494,0.470268380782227,99.67,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp."
"DESC_0282_14","Canis latrans","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,943,11939,0.0789848396013066,100,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris"
"DESC_0282_14","Canis latrans","Phenacomys intermedius","Phenacomys intermedius","intermedius","Phenacomys","Cricetidae","Rodentia","Mammalia","Chordata",3,2234,11939,0.187117849066086,99.02,"Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,intermedius"
"DESC_0282_14","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,8762,11939,0.733897311332607,99.67,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp."
"DESC_0282_24","Canis latrans","Accipiter sp.","Accipiter sp.","sp.","Accipiter","Accipitridae","Accipitriformes","Aves","Chordata",3,80496,531762,0.151375991515001,100,"Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,sp."
"DESC_0282_24","Canis latrans","Tamias sp","Tamias sp.","sp.","Tamias","Sciuridae","Rodentia","Mammalia","Chordata",3,451266,531762,0.848624008484999,100,"Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp."
