"fieldid.x","defecator","speciessimpleid.x","final_scientific","species","genus","family","order","class","phylum","reps","speciesreads","totalreads","rra","pidmatch","lineage"
"DESC-0282_22","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata",2,11057,11057,1,98.9190909090909,"Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides"
"DESC-0282__2","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,18188,22502,0.808283708114834,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"DESC-0282__2","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,1696,22502,0.0753710781263888,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis"
"DESC-0282__2","Vulpes vulpes","Sorex sp.","Sorex sp.","sp.","Sorex","Soricidae","Soricimorpha","Mammalia","Chordata",3,501,22502,0.0222646875833259,100,"Chordata,Mammalia,Soricimorpha,Soricidae,Sorex,sp."
"DESC-0282__2","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata",3,2117,22502,0.0940805261754511,99.34,"Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides"
"DESC0282_19","Vulpes vulpes","Dendragapus fuliginosus","Dendragapus fuliginosus","fuliginosus","Dendragapus","Phaisianidae","Galliformes","Aves","Chordata",3,26094,97411,0.267875291291538,100,"Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,fuliginosus"
"DESC0282_19","Vulpes vulpes","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,70674,97411,0.725523811479196,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris"
"DESC_0190_15","Vulpes vulpes","Cervus canadensis","Cervus canadensis","canadensis","Cervus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,16278,31588,0.515322274281373,99.6733333333333,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis"
"DESC_0190_15","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata",3,15310,31588,0.484677725718627,99.009,"Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides"
"DESC_0190_16","Vulpes vulpes","Neotoma cinerea","Neotoma cinerea","cinerea","Neotoma","Cricetidae","Rodentia","Mammalia","Chordata",3,724,6072,0.119235836627141,100,"Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,cinerea"
"DESC_0190_16","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata",3,5348,6072,0.880764163372859,99.1514285714286,"Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides"
"DESC_0190_27","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,123182,123666,0.996086232270794,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"DESC_0231_11","Vulpes vulpes","Odocoileus sp.","Odocoileus sp.","sp.","Odocoileus","Cervidae","Cetartiodactyla","Mammalia","Chordata",3,784,7538,0.1040063677368,100,"Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp."
"DESC_0231_11","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,2628,7538,0.348633589811621,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
"DESC_0231_11","Vulpes vulpes","Thomomys talpoides","Thomomys talpoides","talpoides","Thomomys","Geomyidae","Rodentia","Mammalia","Chordata",3,4126,7538,0.547360042451579,99.01,"Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides"
"DESC_0231_13","Vulpes vulpes","Chordeiles minor","Chordeiles minor","minor","Chordeiles","Caprimulgidae","Caprimulgiformes","Aves","Chordata",3,52024,52024,1,100,"Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor"
"DESC_0231_14a","Vulpes vulpes","Marmota flaviventris","Marmota flaviventris","flaviventris","Marmota","Sciuridae","Rodentia","Mammalia","Chordata",3,62864,74336,0.845673697804563,99.495,"Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris"
"DESC_0231_14a","Vulpes vulpes","Myodes californicus","Myodes californicus","californicus","Myodes","Cricetidae","Rodentia","Mammalia","Chordata",3,7076,74336,0.0951894102453724,100,"Chordata,Mammalia,Rodentia,Cricetidae,Myodes,californicus"
"DESC_0231_14a","Vulpes vulpes","Vireo sp.","Vireo sp.","sp.","Vireo","Vireonidae","Passeriformes","Aves","Chordata",3,4396,74336,0.0591368919500646,99.048,"Chordata,Aves,Passeriformes,Vireonidae,Vireo,sp."
"DESC_0231_14b","Vulpes vulpes","Junco hyemalis","Junco hyemalis","hyemalis","Junco","Passerellidae","Passeriformes","Aves","Chordata",3,53750,57432,0.935889399637833,100,"Chordata,Aves,Passeriformes,Passerellidae,Junco,hyemalis"
"DESC_0231_14b","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,3682,57432,0.0641106003621674,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
"DESC_0282_1","Vulpes vulpes","Callospermophilus lateralis","Callospermophilus lateralis","lateralis","Callospermophilus","Sciuridae","Rodentia","Mammalia","Chordata",3,2990,6302,0.474452554744526,100,"Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis"
"DESC_0282_1","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,3312,6302,0.525547445255474,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
"DESC_0282_12","Vulpes vulpes","Lepus americanus","Lepus americanus","americanus","Lepus","Leporidae","Lagomorpha","Mammalia","Chordata",3,119180,130024,0.916600012305421,98.02,"Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus"
"DESC_0282_12","Vulpes vulpes","Peromyscus maniculatus","Peromyscus maniculatus","maniculatus","Peromyscus","Cricetidae","Rodentia","Mammalia","Chordata",3,10844,130024,0.0833999876945795,100,"Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus"
