phylum,class,order,family,genus,species,final_scientific,freq,focc,totalspecreads,finalrra_all,finalrra_vert,PreyTaxa,POO,RRA,wPOO,Species,reads,c,sciname
Chordata,Mammalia,Rodentia,Sciuridae,Callospermophilus,lateralis,Callospermophilus lateralis,7,0.25,285792.00,0.13,0.13,Callospermophilus lateralis,0.13,0.14,0.14,Redfox,347884,Mammalia,Callospermophilus lateralis
Chordata,Mammalia,Rodentia,Cricetidae,Peromyscus,maniculatus,Peromyscus maniculatus,6,0.21,228576.00,0.07,0.07,Peromyscus maniculatus,0.11,0.10,0.10,Redfox,522238,Mammalia,Peromyscus maniculatus
Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,talpoides,Thomomys talpoides,5,0.18,37958.00,0.11,0.11,Thomomys talpoides,0.09,0.09,0.09,Redfox,78757,Mammalia,Thomomys talpoides
Chordata,Mammalia,Rodentia,Sciuridae,Tamias,sp.,Tamias sp.,3,0.11,36714.00,0.10,0.10,Tamias sp,0.05,0.09,0.09,Redfox,37220,Mammalia,Tamias sp.
Chordata,Mammalia,Rodentia,Cricetidae,Myodes,californicus,Myodes californicus,5,0.18,39078.00,0.09,0.09,Myodes californicus,0.09,0.08,0.08,Redfox,139133,Mammalia,Myodes californicus
Chordata,Mammalia,Cetartiodactyla,Cervidae,Odocoileus,sp.,Odocoileus sp.,4,0.14,172328.00,0.06,0.06,Odocoileus sp.,0.07,0.07,0.07,Redfox,418732,Mammalia,Odocoileus sp.
Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,americanus,Lepus americanus,3,0.11,238777.00,0.08,0.08,Lepus americanus,0.05,0.07,0.07,Redfox,301335,Mammalia,Lepus americanus
Chordata,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Cervus canadensis,4,0.14,62798.00,0.06,0.06,Cervus canadensis,0.07,0.06,0.06,Redfox,315658,Mammalia,Cervus canadensis
Chordata,Mammalia,Euliptophyla,Talpidae,Scapanus,sp.,Scapanus sp.,4,0.14,88506.00,0.05,0.05,Scapanus sp.,0.07,0.06,0.06,Redfox,157129,Mammalia,Scapanus sp.
Chordata,Mammalia,Rodentia,Cricetidae,Phenacomys,intermedius,Phenacomys intermedius,2,0.07,37334.00,0.05,0.05,Phenacomys intermedius,0.04,0.05,0.05,Redfox,59418,Mammalia,Phenacomys intermedius
Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,fontinalis,Salvelinus fontinalis,1,0.04,138748.00,0.04,0.04,Salvelinus fontinalis,0.02,0.04,0.04,Redfox,138748,Actinopterygii,Salvelinus fontinalis
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Chordeiles minor,1,0.04,52024.00,0.04,0.04,Chordeiles minor,0.02,0.04,0.04,Redfox,52024,Aves,Chordeiles minor
Chordata,Mammalia,Soricimorpha,Soricidae,Sorex,sp.,Sorex sp.,3,0.11,32679.00,0.03,0.03,Sorex sp.,0.05,0.03,0.03,Redfox,101366,Mammalia,Sorex sp.
Chordata,Mammalia,Rodentia,Sciuridae,Marmota,flaviventris,Marmota flaviventris,2,0.07,133538.00,0.06,0.06,Marmota flaviventris,0.04,0.03,0.03,Redfox,171747,Mammalia,Marmota flaviventris
Chordata,Aves,Galliformes,Phaisianidae,Dendragapus,fuliginosus,Dendragapus fuliginosus,1,0.04,26094.00,0.01,0.01,Dendragapus fuliginosus,0.02,0.02,0.02,Redfox,97411,Aves,Dendragapus fuliginosus
Chordata,Aves,Passeriformes,Passerellidae,Junco,hyemalis,Junco hyemalis,1,0.04,53750.00,0.03,0.03,Junco hyemalis,0.02,0.02,0.02,Redfox,57432,Aves,Junco hyemalis
Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,cinerea,Neotoma cinerea,1,0.04,724.00,0.00,0.00,Neotoma cinerea,0.02,0.02,0.02,Redfox,6072,Mammalia,Neotoma cinerea
Chordata,Aves,Charadriiformes,Charadriidae,Larus,sp.,Larus sp.,1,0.04,1435.00,0.01,0.01,Larus sp.,0.02,0.01,0.01,Redfox,6097,Aves,Larus sp.
Chordata,Aves,Passeriformes,Vireonidae,Vireo,sp.,Vireo sp.,1,0.04,4396.00,0.00,0.00,Vireo sp.,0.02,0.01,0.01,Redfox,74336,Aves,Vireo sp.
